voter,voting_power,tx_id
terra1zaqeperrwghqlsa9yykzsjaets54mtq0u6kl60,105000000000000.0,7
terra1pq02fnrm68x6kcv2lhgvyetjelps550w3pq6m2,35000000000000.0,7
terra14rg786jljcyt08mpfjqfe0tyqtkc5ku07u5cpl,10850000000000.0,7
terra1e5ncelsh4qhqt3s97vn43hxlhmt7zd43yszdnf,10616039102911.0,7
terra10yfjdgrj40yckeh5gju86fzyyrw46va48ajxg4,2128369766944.0,7
terra1ncvddg7msaec0tkeeaekrnn0gcxafwtvvz30yw,1497765687224.0,7
terra1e99pw4wc6e8ns9cvqvz59cd6kjzn30u022eh89,1220488300715.0,7
terra1jy3vlu9x2fc2slundxz0kvj7n5y9hjlj6h0hkw,700000000000.0,7
terra1gkchs6p8wqaz9rutfnqc3hx0qnh2mwkra6tzfz,501691288210.0,7
terra1up6rqvaj8uyw4rtymcrla2xm02kjg6xp6a9t3p,490944039873.0,7
terra1kge9hrh2smfh9easjsldwwm6lxn23v8flc33f6,353900887834.0,7
terra1k6hrpxdfzesxc2wm78ele9xlg6na3knky6cx0k,293343774120.0,7
terra162cxa76zpvag4a05da0yhu69awfy35w8pws625,159041818862.0,7
terra1kxln7cd8r29taqgtgtgta95nd54asy4kf53z39,139880344374.0,7
terra1u82zsvknlkpts79cctfzapk0w5hz5cdha85t2t,119000000000.0,7
terra18dc0shnv6nqnvw2zsl2xcjym56zzat60lxv0um,81270154955.0,7
terra1rjm4nys9kywcz9v0fss5g42v4gf8af6t9hsh5g,69971122702.0,7
terra1z9lq45s7f96fyt9u3ra26w3sqrqa3akz58h0d7,64368851035.0,7
terra17s6xwejf0mrft4c4jdk4k2gjdq45p28d897vjz,54580887131.0,7
terra1qdzyh7sx6jg5xwgj34dwevgsgy2aqdxhv92f9s,44234597743.0,7
